Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
1,Ambit Energy,20369,$325 million,Energy,Dallas,TX,http://www.inc.com/inc5000/profile/ambit-energy,http://www.ambitenergy.com,"Ambit Energy was founded in response to Texas' energy deregulation, with a goal to provide better customer service and customer retention. Texas is the largest electricity market in the United States, and the 11th largest worldwide market, falling between Great Britain and Spain in terms of annual consumption.",$1.6 million,171,2006,#1
2,ModCloth,17191,$15.6 million,Retail,Pittsburgh,PA,http://www.inc.com/inc5000/profile/modcloth,http://www.modcloth.com,"Founded by husband and wife team Eric Koger and Susan Gregg Koger, ModCloth is an online retailer that sells affordable women's fashions from independent designers. Its unique selection of indie clothing and engaging promotions on the ModLife blog and social networks have attracted a devoted following. ModCloth has almost 13,000 followers on Twitter and more than 30,000 fans on Facebook. More than 150,000 Web pages on the Internet link to ModCloth.com, and the company is the top result in Google searches for indie clothing, retro clothing, and vintage outfits.","$90,169",100,2002,#1
3,Luke & Associates,16637,$37.5 million,Government Services,Merritt Island,FL,http://www.inc.com/inc5000/profile/luke-associates,http://www.lukeassoc.com,"Luke & Associates serves primarily the U.S. military, providing medical care for soldiers and their families at more than 60 military bases. Its other units offer advisory, consulting, and technical services in the fields of engineering, biomedical and nonbiomedical research, and information management.","$223,805",588,2004,#1
4,Lexicon Consulting,14018,$14.4 million,Government Services,El Cajon,CA,http://www.inc.com/inc5000/profile/lexicon-consulting,http://www.lexiconinc.com,"Lexicon trains Department of Defense and military personnel in cultural immersion and awareness, providing professional actors and native foreign language speakers to conduct realistic, intensive pre-deployment training. It also supplies overseas military operations with translators and interpreters.","$101,943",50,2005,#2
5,WDFA Marketing,13969,$17.9 million,Advertising & Marketing,San Francisco,CA,http://www.inc.com/inc5000/profile/wdfa-marketing,http://www.wdfamarketing.com,"WDFA Marketing specializes in guerilla, grassroots, and micro-marketing using creative online techniques, demographic mapping software, and street tactics.","$126,951",46,2006,#1
6,Coyote Logistics,13847,$249.8 million,Logistics & Transportation,Lake Forest,IL,http://www.inc.com/inc5000/profile/coyote-logistics,http://www.coyotelogistics.com,"In the last two years Coyote Logistics has added eGlobe Logistics, Integra Logistics, and General Freight Services to its truckload, less-than-truckload, intermodal, air, ocean, and supply chain business serving North America and Europe.",$1.8 million,351,2006,#1
7,Debt Free Associates,12376,$26.2 million,Financial Services,Oklahoma City,OK,http://www.inc.com/inc5000/profile/debt-free-associates,http://www.debtfreeassociates.com,Debt Free Associates is a financial services firm that helps individuals and business owners avoid bankruptcy through debt consolidation and unsecured debt settlement services.,"$210,000",46,2006,#1
8,LifeLock,11474,$131.4 million,Security,Tempe,AZ,http://www.inc.com/inc5000/profile/lifelock,http://www.lifelock.com,"LifeLock provides subscription-based identity theft protection to more than 1.6 million law enforcers, public servants, and consumers.",$1.1 million,482,2005,#1
9,Carbonite,11208,$19.1 million,IT Services,Boston,MA,http://www.inc.com/inc5000/profile/carbonite,http://www.carbonite.com,"Carbonite provides flat-fee unlimited computer data backup to individuals and small businesses, with an emphasis on ease-of-use, price, and consumer trust. Carbonite's revenue has doubled every year since the company launched its service in 2006, and it plans to register for an initial public offering this year and go public sometime in 2011.","$169,035",100,2005,#1
10,KPaul,10926,$11.2 million,Government Services,Indianapolis,IN,http://www.inc.com/inc5000/profile/kpaul,http://www.tekmentum.com,"KPaul sells computers and accessories, office products and furniture, software, and first aid supplies to the government.","$101,936",60,2004,#3
11,Century Payments,10471,$15.7 million,Financial Services,Frisco,TX,http://www.inc.com/inc5000/profile/century-payments,http://www.centurypayments.com,"Century Payments is an outsourced sales organization in the payments processing industry that benefits merchants, agents, and partners.  Century Payments is backed by a $50 million investment by Austin Ventures, a 25-year-old venture capital firm.","$148,065",200,2006,#2
12,TheFind,9970,$15.3 million,Retail,Mountain View,CA,http://www.inc.com/inc5000/profile/thefind,http://www.thefind.com,"An Internet shopping site that has been awarded patents for its shopping aggregation and search technology, TheFind brings together 500,000 online and brick-and-mortar stores that offer more than 400 million products to 17 million unique monthly shoppers. The site also includes coupons, reviews, and other information relevant to shoppers, and has offshoots devoted to fashion (Glimpse.com) and organic and environmentally-friendly products (Green.TheFind.com).","$152,266",34,2004,#2
13,The Penna Group,9525,$15.5 million,Government Services,Fort Worth,TX,http://www.inc.com/inc5000/profile/the-penna-group,http://www.pennagc.com,"The Penna Group specializes in excavation, industrial and commercial buildings, water and sewer, design/build, bid build, infrastructure, and heavy construction for government and military customers.","$161,234",250,2006,#4
14,Digital Advertising,9390,$11.3 million,Advertising & Marketing,Metuchen,NJ,http://www.inc.com/inc5000/profile/digital-advertising,http://www.digitaladvertising.com,"Digital Advertising links publishers and advertisers. The company employs state-of-the-art technology, including proprietary and optimizing elements.","$119,000",7,2000,#2
15,Physicians' Pharmaceutical,9307,$8.7 million,Health,Knoxville,TN,http://www.inc.com/inc5000/profile/physicians-pharmaceutical,http://www.ppcdrx.com,Physicians' Pharmaceutical is a wholesale distributor of pharmaceutical medications to physicians.,"$91,958",10,2005,#1
16,Ciphent,8907,$9.3 million,Security,Hanover,MD,http://www.inc.com/inc5000/profile/ciphent,http://www.ciphent.com,"Ciphent provides cyber security solutions to commercial, federal and global organizations. Its breadth of services include enterprise security consulting and training, managed services, field R&D, and technology implementation. The Ciphent team is comprised of   industry experts, has published over a dozen books on security, and has presented at every major conference.  In 2009, Ciphent was featured on NBC as one of the Top 5 Cyber Security Firms.","$103,717",57,2006,#2
17,MaxLinear,8784,$51.4 million,Computer Hardware,Carlsbad,CA,http://www.inc.com/inc5000/profile/maxlinear,http://www.maxlinear.com,"MaxLinear provides highly integrated radio-frequency analog and mixed signal semiconductor system-on-a-chip (SoC) services for broadband communication applications offering high levels of performance, small silicon die size, and low power consumption. Its products enable the display of broadband video in a wide range of electronic devices, including cable and terrestrial set top boxes, digital televisions, mobile handsets, personal computers, netbooks, and in-vehicle entertainment devices. The company went public in March 2010.","$578,000",146,2003,#1
18,Foreground Security,8291,$10.6 million,Security,Lake Mary,FL,http://www.inc.com/inc5000/profile/foreground-security,http://www.foregroundsecurity.com,"Foreground Security specializes in providing information security through consulting, training, and services to government agencies and private sector organizations.","$126,746",9,2000,#3
19,Scentsy,8094,$178.4 million,Consumer Products & Services,Meridian,ID,http://www.inc.com/inc5000/profile/scentsy,http://www.scentsy.net,"Scentsy is best known for its wickless, flameless scented candles housed in decorative warmers. Recently the product line has expanded to include a fragrant stuffed animal called Scentsy Buddy which includes a Scent Pak that is also great for drawers or luggage, “Fragrance Foam”, an emollient-rich foam that kills germs without drying hands, and Travel Tins, which contain a gel that emits a fragrance when opened. All products are sold through open houses and parties hosted by customers who sign up to be direct-selling consultants.",$2.2 million,424,2004,#1
20,Pyramed Health Services,8091,$8.3 million,Health,San Antonio,TX,http://www.inc.com/inc5000/profile/pyramed-health-services,http://www.pyramedhs.com,"With three locations in Texas, Pyramed employs and manages an extensive group of health care professionals who provide in-home health care for pediatric and adult patients, specializing in skilled nursing services to medically fragile children.","$101,789",198,2005,#2
21,NetWitness,7746,$19.7 million,Security,Herndon,VA,http://www.inc.com/inc5000/profile/netwitness,http://www.netwitness.com,"NetWitness originally developed its technology products, which combat advanced cyber-security threats, for limited use as a tactical network monitoring program for the U.S. intelligence community. When the company decided to expand into the commercial and international markets, it released a core part of its intellectual property as freeware (NetWitness Investigator), which has become the standard for advanced threat analysis for more than 5,000 organizations in 196 countries. The company now serves customers in retail and banking as well as government and law enforcement.","$251,000",69,2006,#4
22,Ayuda Management,7444,$20.7 million,Government Services,Broomfield,CO,http://www.inc.com/inc5000/profile/ayuda-management,http://www.ayudamanagement.com,"Ayuda Management is a general contractor that performs design-build construction, defect repair, electrical and wet utility installation, road installation, and homeland security services such as intrusion detection, access control, and CCTV design and installation. Ayuda also provides environmental engineering, remediation, and staff augmentation services.","$273,937",45,2002,#5
23,Octo Consulting Group,7224,$13.7 million,Government Services,Vienna,VA,http://www.inc.com/inc5000/profile/octo-consulting-group,http://www.octoconsulting.com,Octo Consulting Group is a management and technology strategy consulting firm for federal government agencies.,"$186,928",81,2006,#6
24,Gazelle,7120,$8.3 million,Consumer Products & Services,Boston,MA,http://www.inc.com/inc5000/profile/gazelle,http://www.gazelle.com,"Gazelle provides an easy, fast, and safe way for consumers to get cash for selling unwanted electronics such as cell phones, game systems, and mp3 players, or to recycle them responsibly.","$114,430",94,2006,#2
25,Vendormate,7108,$10.7 million,Software,Atlanta,GA,http://www.inc.com/inc5000/profile/vendormate,http://www.vendormate.com,"The company's software-based products enable its health care and banking clients to manage every aspect of staff and vendor information, including registration, screening, credentialing, and monitoring, and to remain in compliance with their internal policies as well as government mandates such as HIPAA, the Stark Law, and the Deficit Reduction Act. A leader in health care credentialing, Vendormate has more than 800 hospitals under contract and 110,000 registered vendors, and is making strong inroads into third-party risk management in banking.","$147,852",58,2005,#1
26,Pursuit of Excellence,7054,$10.7 million,Human Resources,Dallas,TX,http://www.inc.com/inc5000/profile/pursuit-of-excellence,http://www.pursuitofexcellenceinc.com,"Pursuit of Excellence is an HR outsourcing company that offers corporate strategic planning, organizational development, executive coaching, workforce training and development, recruiting, safety and loss prevention, and payroll and benefits services to small and midsize companies.","$149,364",200,1994,#1
27,Listen Up Espanol,6914,$14.9 million,Business Products & Services,Portland,ME,http://www.inc.com/inc5000/profile/listen-up-espanol,http://www.listenupespanol.com,"A full-service Spanish-language call center, Listen Up Espanol offers scripting, inbound and outbound sales calling, campaign management, customer service, lead generation, and interactive voice response services for corporations, nonprofits, and direct response TV and media affiliate clients. With the expansion in 2009 of its facility in Hermosillo, Mexico, to 500 seats, the company can now accommodate up to 900 agents, and is open 24 hours a day, seven days a week.","$212,115",1200,2006,#1
28,3Cinteractive,6844,$16.1 million,Software,Boca Raton,FL,http://www.inc.com/inc5000/profile/3cinteractive,http://www.3cinteractive.com,"3Cinteractive helps clients develop and deploy mobile strategies to reach users worldwide, regardless of device or network. 3Cinteractive's platform focuses on enterprise solutions, mobile commerce, and mobile marketing.","$232,439",54,2005,#2
29,Insignia Technology Services,6430,$8.9 million,Government Services,Newport News,VA,http://www.inc.com/inc5000/profile/insignia-technology-services,http://www.insigniatechnology.com,"Insignia Technology Services provides information technology services and solutions to Department of Defense and commercial customers.  Core competencies involve the cradle-to-grave support of very large and complex enterprise-class IT systems running in mission-critical high-availability environments. This includes everything from program management, architecture, and engineering, to help desk support and training.","$135,600",90,2006,#7
30,Veteran Corps of America,6418,$10.4 million,Government Services,Belleville,IL,http://www.inc.com/inc5000/profile/veteran-corps-of-america,http://www.veterancorps.com,"A government contractor, Veteran Corps of America sells CBRNE (chemical, biological, radiological, nuclear, and explosives) detection and protection equipment and IT and administrative products and services. The company, largely staffed by military veterans, partners with the Purple Heart Service Foundation to create jobs for combat wounded and disabled veterans, and contributes at least 10% of its net income in support of a range of programs for veterans.","$160,212",16,2005,#8
31,SproutLoud Media Networks,6398,$14.6 million,Advertising & Marketing,Sunrise,FL,http://www.inc.com/inc5000/profile/sproutloud-media-networks,http://www.sproutloud.com,"SproutLoud offers brand management, custom software development, application hosting, data analysis, and cross-platform marketing to clients in banking, travel, hospitality, retail, manufacturing, and real estate as well as partners with ad agencies to boost their technology capabilities.","$225,000",50,2005,#4
32,Provideo Management,6140,$8.8 million,Government Services,Sterling,VA,http://www.inc.com/inc5000/profile/provideo-management,http://www.provideomanagement.com,"Provideo Management supports federal agencies and the military with strategy and execution of major acquisitions of property and equipment as well as with budgeting, IT, and business operation services such as HR and records management.","$141,796",4,2004,#9
33,IZ Technologies,6102,$6.3 million,Government Services,Ashburn,VA,http://www.inc.com/inc5000/profile/iz-technologies,http://www.iztechnologies.com,IZ Technologies provides IT and telecommunication services to Department of Defense operations.,"$101,897",26,2006,#10
34,FundingUniverse,6034,$6.5 million,Financial Services,South Jordan,UT,http://www.inc.com/inc5000/profile/fundinguniverse,http://fundinguniverse.com,"FundingUniverse matches qualified entrepreneurs with investors, banks, and other funding sources.","$106,000",65,2005,#3
35,Yodle,5958,$45.9 million,Advertising & Marketing,New York City,NY,http://www.inc.com/inc5000/profile/yodle,http://www.yodle.com,"Yodle connects local businesses with consumers in 25 major U.S. cities by placing ads in organic and sponsored sections of search engines and local sites and through website design, assessment, and tracking.","$757,816",300,2005,#5
36,QuoteWizard,5950,$9.1 million,Insurance,Seattle,WA,http://www.inc.com/inc5000/profile/quotewizard,http://www.quotewizard.com,"QuoteWizard specializes in matching consumers shopping for insurance with local agents and national underwriters that provide quotes. QuoteWizard currently focuses on the property and casualty segment (auto, home, and renter's insurance).","$150,716",31,2006,#1
37,Balance Staffing,5771,$6.4 million,Human Resources,Ft. Lauderdale,FL,http://www.inc.com/inc5000/profile/balance-staffing,http://www.balancestaff.com,"Balance Staffing recruits and placed skilled temporary employees in positions in administration, distribution, accounting, law, warehouses, and the food and hospitality industries.","$109,328",82,1997,#2
38,TechRadium,5762,$8.7 million,Business Products & Services,Sugar Land,TX,http://www.inc.com/inc5000/profile/techradium,http://www.techradium.com,"TechRadium provides mass notification and emergency alerting software to government, educational, commercial, and nonprofit organizations. Its IRIS (immediate response information system) is a sophisticated, VoIP-utilizing scalable and customizable telecommunications system for critical and logistical applications.","$149,000",31,2000,#2
39,Appliance Zone,5536,$7.7 million,Retail,Corydon,IN,http://www.inc.com/inc5000/profile/appliance-zone,http://www.appliancezone.com,"Founder and CEO Jim Allen started Appliance Zone from his Indiana home in 2006 with his wife and kids as a plan to get him out of the appliance repair business within two years. He was out in six months, and the company is now one of the largest online suppliers of appliance parts and accessories. The company is the primary sponsor of Brad Smith Motorsports in the ARCA (Automobile Racing Club of America) RE/MAX Racing Series.","$136,302",14,2006,#3
40,Involta,5438,$6.9 million,IT Services,Marion,IA,http://www.inc.com/inc5000/profile/involta,http://www.involta.com,Involta provides full-service data center facilities and expertise in managing and protecting critical computer systems and disaster recovery.,"$124,355",36,2006,#2
41,FastSpring,5320,$11.7 million,Business Products & Services,Santa Barbara,CA,http://www.inc.com/inc5000/profile/fastspring,http://www.fastspring.com,"FastSpring's software streamlines e-commerce for merchants of downloadable products such as software, games, and e-books. The company also offers customized, hosted order pages that integrate with its customers' existing websites and design.","$215,849",15,2005,#3
42,Zenoss,5317,$5.6 million,Software,Annapolis,MD,http://www.inc.com/inc5000/profile/zenoss,http://www.zenoss.com,"Zenoss enables organizations to seamlessly manage physical, virtual, and cloud-based infrastructure with power, agility, and value. Leveraging a commercial open-source model, Zenoss products monitor more than a million network and server devices daily and have been used in 25,000 organizations in 180 countries around the world. Commercial customers include Rackspace, WebMD, LinkedIn, and Deutsche Bank.","$103,000",50,2005,#3
